epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.5785,1.57427,1.73165,1.72418,0.41725,0.6133,0.5773,0.23398,1.89789,5.70869,2.1299,0.000552105,0.000552105,0.000552105
2,114.656,1.69902,1.72865,1.8399,0.4941,0.34412,0.3822,0.17945,2.17201,5.21806,2.42387,0.00109315,0.00109315,0.00109315
3,169.648,1.70238,1.75756,1.84587,0.2402,0.45154,0.24869,0.0943,2.26572,2.65834,2.59623,0.00161952,0.00161952,0.00161952
4,224.391,1.6351,1.66569,1.7899,0.68474,0.69233,0.76602,0.51338,1.72963,2.32231,1.82556,0.00160099,0.00160099,0.00160099
5,279.202,1.56333,1.58875,1.7484,0.7069,0.71498,0.74957,0.48602,1.71928,1.795,1.80676,0.00157898,0.00157898,0.00157898
6,333.912,1.55119,1.53408,1.71958,0.75449,0.75,0.83551,0.57938,1.64375,1.4191,1.76129,0.00155698,0.00155698,0.00155698
7,388.654,1.50407,1.4567,1.68602,0.83919,0.76521,0.82981,0.5882,1.59343,1.41438,1.70844,0.00153497,0.00153497,0.00153497
8,443.279,1.46148,1.42094,1.66046,0.82336,0.79183,0.85666,0.58372,1.60094,1.25354,1.6912,0.00151297,0.00151297,0.00151297
9,498.104,1.45248,1.37313,1.63708,0.81403,0.8346,0.87591,0.6137,1.53536,1.204,1.6416,0.00149096,0.00149096,0.00149096
10,552.838,1.41898,1.33659,1.61871,0.86459,0.82129,0.88448,0.63211,1.55166,1.34316,1.62074,0.00146896,0.00146896,0.00146896
11,607.758,1.39162,1.29142,1.59354,0.87824,0.85266,0.89171,0.63426,1.51278,1.22065,1.59358,0.00144696,0.00144696,0.00144696
12,662.682,1.38824,1.27853,1.58337,0.9027,0.81173,0.89787,0.63721,1.45827,1.08219,1.59154,0.00142495,0.00142495,0.00142495
13,717.55,1.38085,1.24743,1.57952,0.84032,0.84628,0.87219,0.63942,1.5101,1.1326,1.62648,0.00140295,0.00140295,0.00140295
14,772.754,1.34816,1.22552,1.56454,0.85579,0.84172,0.88978,0.6445,1.4866,1.02468,1.58726,0.00138094,0.00138094,0.00138094
15,827.576,1.32678,1.16993,1.53774,0.91642,0.83935,0.90084,0.675,1.3803,1.02088,1.5094,0.00135894,0.00135894,0.00135894
16,882.299,1.31695,1.13856,1.53334,0.8843,0.86027,0.90531,0.66472,1.41973,0.998,1.55054,0.00133693,0.00133693,0.00133693
17,937.086,1.30494,1.12984,1.51948,0.87619,0.86122,0.90123,0.67292,1.3933,1.02048,1.56518,0.00131493,0.00131493,0.00131493
18,992.026,1.29633,1.1264,1.51744,0.91359,0.86027,0.91334,0.66106,1.40607,1.00837,1.53169,0.00129293,0.00129293,0.00129293
19,1046.94,1.28696,1.08045,1.5117,0.91863,0.86027,0.90472,0.66214,1.35504,1.00098,1.5135,0.00127092,0.00127092,0.00127092
20,1101.63,1.26799,1.0683,1.49772,0.87323,0.83984,0.90045,0.67964,1.36745,0.92093,1.48269,0.00124892,0.00124892,0.00124892
21,1156.48,1.26991,1.06726,1.49878,0.88831,0.8714,0.90717,0.67903,1.32881,0.9152,1.45904,0.00122691,0.00122691,0.00122691
22,1211.81,1.24806,1.02157,1.47453,0.92872,0.87548,0.9236,0.69453,1.4094,0.90073,1.52807,0.00120491,0.00120491,0.00120491
23,1266.68,1.23346,1.00971,1.46041,0.94068,0.85932,0.91896,0.67908,1.29281,0.87268,1.45041,0.0011829,0.0011829,0.0011829
