epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.0112,1.6662,1.87218,1.76038,0.70107,0.2253,0.27791,0.10657,2.17374,4.1504,2.46948,0.000551912,0.000551912,0.000551912
2,107.675,1.79607,1.89462,1.89221,0.5127,0.3219,0.2425,0.10077,2.12525,3.85916,2.29604,0.00108565,0.00108565,0.00108565
3,160.212,1.77761,1.92007,1.87404,0.75663,0.23764,0.24746,0.11152,1.97204,2.93363,2.12948,0.00159738,0.00159738,0.00159738
4,212.738,1.71938,1.84227,1.84472,0.73249,0.25285,0.25828,0.10238,1.94917,2.49663,2.12253,0.00156798,0.00156798,0.00156798
5,265.151,1.67627,1.74843,1.78869,0.35916,0.38882,0.33554,0.15709,1.82633,1.95336,1.91491,0.00153497,0.00153497,0.00153497
6,317.563,1.6103,1.64616,1.72888,0.57814,0.43447,0.45378,0.19729,1.77007,1.68322,1.86502,0.00150197,0.00150197,0.00150197
7,369.932,1.57683,1.63279,1.7154,0.70115,0.37313,0.46617,0.23639,1.67861,1.52973,1.77529,0.00146896,0.00146896,0.00146896
8,422.372,1.55512,1.58642,1.68941,0.73331,0.40878,0.49834,0.20497,1.85729,1.55208,1.93221,0.00143595,0.00143595,0.00143595
9,474.813,1.52627,1.50264,1.67138,0.46608,0.45505,0.4808,0.2299,1.74396,1.37388,1.82508,0.00140295,0.00140295,0.00140295
10,527.146,1.48175,1.45219,1.63543,0.5436,0.53369,0.54908,0.23698,1.76912,1.41453,1.80618,0.00136994,0.00136994,0.00136994
11,579.644,1.48155,1.42813,1.62852,0.64044,0.5463,0.5852,0.27377,1.67661,1.31399,1.74637,0.00133693,0.00133693,0.00133693
12,631.95,1.46068,1.38816,1.61594,0.56299,0.57838,0.55015,0.26746,1.60672,1.3287,1.69028,0.00130393,0.00130393,0.00130393
13,684.408,1.45231,1.35572,1.59196,0.57753,0.55623,0.54976,0.27391,1.60277,1.2712,1.69309,0.00127092,0.00127092,0.00127092
14,736.831,1.41876,1.29823,1.56994,0.65938,0.54794,0.59313,0.30242,1.53775,1.18738,1.64127,0.00123791,0.00123791,0.00123791
15,789.168,1.38302,1.26392,1.55376,0.47669,0.57941,0.54525,0.29719,1.45909,1.20118,1.62253,0.00120491,0.00120491,0.00120491
16,841.394,1.36205,1.2383,1.54974,0.74383,0.5909,0.65568,0.3275,1.55761,1.1229,1.64066,0.0011719,0.0011719,0.0011719
17,893.786,1.37155,1.20991,1.5356,0.68391,0.6069,0.64144,0.33238,1.41993,1.07822,1.57504,0.00113889,0.00113889,0.00113889
18,946.124,1.35118,1.18422,1.53047,0.66125,0.59443,0.63952,0.32817,1.50221,1.13559,1.64546,0.00110589,0.00110589,0.00110589
19,998.315,1.33145,1.14802,1.51988,0.66633,0.61421,0.66067,0.3311,1.56043,1.08217,1.63521,0.00107288,0.00107288,0.00107288
20,1050.68,1.29083,1.10352,1.49068,0.70732,0.63791,0.67807,0.36945,1.40622,1.02234,1.5497,0.00103987,0.00103987,0.00103987
21,1103.18,1.30587,1.10458,1.48557,0.70356,0.63274,0.66387,0.3224,1.56133,1.0486,1.62617,0.00100687,0.00100687,0.00100687
22,1156,1.26201,1.06828,1.47042,0.74595,0.62555,0.6651,0.3384,1.44165,1.01178,1.58768,0.000973861,0.000973861,0.000973861
23,1208.43,1.28108,1.06218,1.46208,0.76827,0.64117,0.70598,0.36429,1.40001,1.00626,1.55471,0.000940855,0.000940855,0.000940855
