epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.8704,1.21217,2.26177,1.55402,0.53659,0.38596,0.61232,0.52378,0.66464,8.32086,1.04105,0.00016,0.00016,0.00016
2,16.1744,0.76397,1.09629,1.21893,0.91421,0.84211,0.89138,0.73769,0.715,3.51605,1.03921,0.000333268,0.000333268,0.000333268
3,21.4324,0.77535,0.78232,1.20205,0.89286,0.87719,0.8525,0.57093,1.05041,6.15015,1.41641,0.000499408,0.000499408,0.000499408
4,26.3572,0.73377,0.66085,1.12164,0.1125,0.78947,0.14054,0.09947,1.15495,36.6264,1.47569,0.00065842,0.00065842,0.00065842
5,31.3943,0.83708,0.79097,1.23963,0.09662,0.70175,0.09496,0.02208,2.84043,77.9765,10.0054,0.000810304,0.000810304,0.000810304
6,36.5378,0.8998,0.76719,1.25572,0.01393,0.87719,0.02372,0.00664,2.77099,inf,20.4667,0.00095506,0.00095506,0.00095506
7,41.6528,0.82235,0.74481,1.20803,0.01923,0.59649,0.02107,0.00671,2.60018,inf,8.93876,0.00109269,0.00109269,0.00109269
8,47.0296,0.84,0.70816,1.21467,0.00292,0.50877,0.00224,0.00044,3.67538,inf,17.354,0.00122319,0.00122319,0.00122319
9,52.0381,0.82554,0.76115,1.18625,0.00377,0.08772,0.0021,0.00034,4.17722,inf,24.2514,0.00134656,0.00134656,0.00134656
10,57.0666,0.87847,0.70586,1.22524,0.11582,0.59649,0.10302,0.03755,1.80152,16.5442,3.38542,0.0014628,0.0014628,0.0014628
11,62.1536,0.79649,0.69326,1.16374,1,0.21053,0.47927,0.31917,1.38613,10.3185,1.991,0.00157192,0.00157192,0.00157192
12,67.3519,0.80143,0.61421,1.16679,0.01085,0.54386,0.00745,0.00307,3.37608,inf,6.54768,0.0015644,0.0015644,0.0015644
13,72.5368,0.80902,0.59345,1.16462,0,0,0,0,5.14516,inf,11.5242,0.0015248,0.0015248,0.0015248
14,77.838,0.8956,0.63983,1.20417,0.00065,0.03509,0.00018,2e-05,4.96518,inf,8.63242,0.0014852,0.0014852,0.0014852
15,82.819,0.77823,0.59254,1.15353,0.37537,0.61404,0.41948,0.10171,2.23064,11.1369,2.29875,0.0014456,0.0014456,0.0014456
16,87.8252,0.79263,0.53929,1.13663,0.31225,0.50877,0.37091,0.1878,1.55961,2.94118,1.60882,0.001406,0.001406,0.001406
17,92.9344,0.70089,0.53851,1.09014,0.66283,0.49123,0.56092,0.36721,1.35927,1.66796,1.60302,0.0013664,0.0013664,0.0013664
18,98.0041,0.6653,0.51087,1.05495,0.67596,0.52632,0.52151,0.32929,1.33544,2.36994,1.66744,0.0013268,0.0013268,0.0013268
19,103.241,0.69268,0.52677,1.11305,0.0023,0.21053,0.00149,0.00058,3.31197,306.763,9.83582,0.0012872,0.0012872,0.0012872
20,108.301,0.76672,0.54129,1.13614,0.94127,0.56234,0.69188,0.53222,1.46798,1.40394,1.76507,0.0012476,0.0012476,0.0012476
21,113.346,0.70866,0.47034,1.08162,0.93218,0.5614,0.68054,0.41566,1.69037,2.10552,1.86034,0.001208,0.001208,0.001208
22,118.335,0.67894,0.47878,1.09063,0.96305,0.91466,0.96997,0.71984,1.05172,0.81874,1.24603,0.0011684,0.0011684,0.0011684
23,123.477,0.68177,0.47763,1.08508,0.87119,0.94923,0.94731,0.68842,0.91592,0.66188,1.18902,0.0011288,0.0011288,0.0011288
24,128.861,0.69052,0.48485,1.08366,0.93106,0.94773,0.9681,0.73316,0.83548,0.67706,1.13995,0.0010892,0.0010892,0.0010892
25,133.961,0.69725,0.46282,1.11198,0.96594,0.99504,0.99093,0.83342,0.69743,0.61334,1.02023,0.0010496,0.0010496,0.0010496
26,139.113,0.69731,0.47031,1.09331,0.99688,1,0.995,0.84929,0.67134,0.44636,1.01732,0.00101,0.00101,0.00101
27,144.137,0.6739,0.45025,1.07602,0.99378,1,0.995,0.8467,0.65205,0.40038,1.01306,0.0009704,0.0009704,0.0009704
28,148.894,0.61105,0.41264,1.04033,0.97494,1,0.99086,0.83693,0.66039,0.43102,1.00772,0.0009308,0.0009308,0.0009308
29,153.831,0.66368,0.4685,1.06804,0.98121,1,0.995,0.85871,0.61098,0.35811,0.97468,0.0008912,0.0008912,0.0008912
30,158.753,0.60731,0.41624,1.03671,0.99876,1,0.995,0.85674,0.59746,0.31968,0.96848,0.0008516,0.0008516,0.0008516
31,163.627,0.61504,0.41153,1.05104,0.99851,1,0.995,0.86934,0.57525,0.31944,0.95765,0.000812,0.000812,0.000812
32,168.523,0.59351,0.40047,1.03111,0.99768,1,0.995,0.87437,0.58569,0.33012,0.96899,0.0007724,0.0007724,0.0007724
33,173.734,0.61423,0.40105,1.03542,0.99844,1,0.995,0.86608,0.57222,0.29953,0.94679,0.0007328,0.0007328,0.0007328
34,178.697,0.62886,0.40416,1.04528,0.99853,1,0.995,0.85723,0.6275,0.33084,0.97539,0.0006932,0.0006932,0.0006932
35,183.558,0.59747,0.38554,1.0325,0.99807,1,0.995,0.86301,0.58388,0.31706,0.94986,0.0006536,0.0006536,0.0006536
36,188.674,0.60045,0.38605,1.04501,0.99849,1,0.995,0.86245,0.59934,0.31471,0.9569,0.000614,0.000614,0.000614
37,193.501,0.58675,0.39254,1.01301,0.99888,1,0.995,0.86645,0.60284,0.31288,0.96112,0.0005744,0.0005744,0.0005744
38,198.377,0.616,0.40107,1.05564,0.99895,1,0.995,0.8623,0.6021,0.30227,0.96091,0.0005348,0.0005348,0.0005348
39,203.205,0.54825,0.36715,0.99425,0.99896,1,0.995,0.87545,0.59022,0.29159,0.95928,0.0004952,0.0004952,0.0004952
40,208.253,0.56592,0.3539,1.01764,0.9989,1,0.995,0.86949,0.58925,0.29661,0.94281,0.0004556,0.0004556,0.0004556
41,213.145,0.45974,0.31704,0.91882,0.99889,1,0.995,0.86308,0.59274,0.31265,0.93972,0.000416,0.000416,0.000416
42,218.237,0.45961,0.29393,0.94878,0.99877,1,0.995,0.87556,0.57041,0.29667,0.93002,0.0003764,0.0003764,0.0003764
43,223.454,0.46349,0.29321,0.94012,0.99881,1,0.995,0.88031,0.58272,0.28609,0.93699,0.0003368,0.0003368,0.0003368
44,228.593,0.46185,0.27531,0.96073,0.9988,1,0.995,0.88013,0.5719,0.29546,0.94542,0.0002972,0.0002972,0.0002972
45,233.801,0.42335,0.28545,0.90153,0.99895,1,0.995,0.88756,0.55675,0.28931,0.93828,0.0002576,0.0002576,0.0002576
46,238.94,0.45141,0.28934,0.92698,0.99898,1,0.995,0.8915,0.54704,0.27975,0.93365,0.000218,0.000218,0.000218
47,243.819,0.44614,0.28165,0.9348,0.99893,1,0.995,0.89085,0.54797,0.27134,0.93635,0.0001784,0.0001784,0.0001784
48,249.017,0.42113,0.25828,0.91264,0.99845,1,0.995,0.89005,0.55799,0.26311,0.94021,0.0001388,0.0001388,0.0001388
49,254.241,0.4305,0.26095,0.92074,0.99844,1,0.995,0.89133,0.55813,0.25396,0.93272,9.92e-05,9.92e-05,9.92e-05
50,259.43,0.41874,0.25152,0.91982,0.99859,1,0.995,0.89514,0.55339,0.25416,0.92559,5.96e-05,5.96e-05,5.96e-05
